pid,bb_nd_board_rank_final,bb_nd_board_rank_30d,bb_nd_board_rank_60d,bb_nd_board_change_60d,bb_nd_board_first_seen_days,bb_nd_mock_rank_final,bb_nd_crowd_mock_rank_final,bb_nd_fit_gap,bb_nd_unranked_board,bb_dx_board_rank_final,bb_dx_board_rank_30d,bb_dx_mock_pick_final,bb_dx_fit_gap,bb_dx_mock_volatility,bb_dx_board_momentum_30d,bb_dx_first_mock_lead_days,bb_dx_age_listed,bb_stepien_consensus_rank,bb_stepien_dispersion,bb_stepien_tier,bb_stepien_preseason_to_final_delta,bb_fit_gap_mean,bb_n_board_sources
P4da2c7e178,,,,,,26,,,,,,,,,,,,,,,,,0
Pfcc31e3705,,,,,,25,,,,,,,,,,,,,,,,,0
P3ebb78aaf3,,,,,,22,,,,,,,,,,,,,,,,,0
P6dc3d3ca5e,,,,,,28,,,,,,,,,,,,,,,,,0
P2a8e69fc8a,,,,,,33,,,,,,,,,,,,,,,,,0
P07655923d4,,,,,,20,,,,,,,,,,,,,,,,,0
Pc0571f7238,,,,,,21,,,,,,,,,,,,,,,,,0
Paeace7e70c,,,,,,47,,,,,,,,,,,,,,,,,0
P989fbfa539,,,,,,40,,,,,,,,,,,,,,,,,0
Pe0dd44e42b,,,,,,27,,,,,,,,,,,,,,,,,0
Pf532d918b8,,,,,,42,,,,,,,,,,,,,,,,,0
P002581103b,,,,,,37,,,,,,,,,,,,,,,,,0
P0fee52cfc4,,,,,,19,,,,,,,,,,,,,,,,,0
P4f8c953cc8,,,,,,34,,,,,,,,,,,,,,,,,0
Pe0f44d3916,,,,,,43,,,,,,,,,,,,,,,,,0
Pc5a3285209,,,,,,48,,,,,,,,,,,,,,,,,0
Pf65d71b77e,,,,,,38,,,,,,,,,,,,,,,,,0
P9aa7ef7a41,,,,,,30,,,,,,,,,,,,,,,,,0
Pf7459f37f3,,,,,,41,,,,,,,,,,,,,,,,,0
Pd06a43915a,,,,,,1,,,,,,,,,,,,,,,,,0
Pe929ebb536,,,,,,2,,,,,,,,,,,,,,,,,0
P1199724869,,,,,,4,,,,,,,,,,,,,,,,,0
P979bc77e15,,,,,,6,,,,,,,,,,,,,,,,,0
Pc692096d48,,,,,,12,,,,,,,,,,,,,,,,,0
Pa08cb88c9e,,,,,,3,,,,,,,,,,,,,,,,,0
P3d9db1cda1,,,,,,5,,,,,,,,,,,,,,,,,0
P6031807405,,,,,,16,,,,,,,,,,,,,,,,,0
P01fc763e95,,,,,,10,,,,,,,,,,,,,,,,,0
P91e42fff83,,,,,,11,,,,,,,,,,,,,,,,,0
P7662bd9a71,,,,,,17,,,,,,,,,,,,,,,,,0
Pb7f87f6748,,,,,,15,,,,,,,,,,,,,,,,,0
P33f4d69488,,,,,,13,,,,,,,,,,,,,,,,,0
Pc0e29b5887,,,,,,18,,,,,,,,,,,,,,,,,0
P792efcc523,,,,,,8,,,,,,,,,,,,,,,,,0
P71d533551f,,,,,,14,,,,,,,,,,,,,,,,,0
P4c416f9cab,,,,,,7,,,,,,,,,,,,,,,,,0
Pb74259d44e,,,,,,20,,,,,,,,,,,,,,,,,0
Pd4f1d19d77,,,,,,19,,,,,,,,,,,,,,,,,0
P4cd866005e,,,,,,23,,,,,,,,,,,,,,,,,0
P780ecd00c5,,,,,,28,,,,,,,,,,,,,,,,,0
P4adcc58a26,,,,,,24,,,,,,,,,,,,,,,,,0
Pb3ff680bd6,,,,,,22,,,,,,,,,,,,,,,,,0
Pbc5a0470c9,,,,,,1,,,,,,,,,,,,,,,,,0
P014b6ed928,,,,,,2,,,,,,,,,,,,,,,,,0
Pae0e6be256,,,,,,3,,,,,,,,,,,,,,,,,0
Peab571b95d,,,,,,4,,,,,,,,,,,,,,,,,0
P39c1b5b439,,,,,,5,,,,,,,,,,,,,,,,,0
P01056a0f18,,,,,,15,,,,,,,,,,,,,,,,,0
