pid,draft_year,vmb_age_reported_years,vmb_listed_height_in,vmb_listed_weight_lb,vmb_listed_bmi,vmb_college_class_year,vmb_position_pg,vmb_position_sg,vmb_position_sf,vmb_position_pf,vmb_position_c
P9b886526e3,2023,,78.0,205.0,23.689885572982853,3.0,0.0,1.0,0.0,0.0,0.0
Pa12a517258,2023,,82.0,235.0,24.571884475788586,3.0,0.0,0.0,0.0,1.0,0.0
Pa4e79c2199,2023,,79.0,200.0,22.53067071428167,,0.0,0.0,1.0,0.0,0.0
Pa6029bb5a6,2023,,77.0,205.0,24.3092028716525,3.0,0.0,1.0,0.0,0.0,0.0
Pa813594724,2023,,79.0,210.0,23.65720424999575,1.0,1.0,1.0,0.0,0.0,0.0
Paf99c23c4d,2023,,79.0,220.0,24.78373778570984,1.0,0.0,0.0,1.0,1.0,0.0
Pbf5a7a4d5b,2023,,79.0,225.0,25.34700455356688,,0.0,1.0,1.0,0.0,0.0
Pc074e62881,2023,,77.0,215.0,25.49501764587945,4.0,0.0,1.0,1.0,0.0,0.0
Pc4ba85a58f,2023,,75.0,200.0,24.99802949828122,4.0,1.0,1.0,0.0,0.0,0.0
Pd5f2794063,2023,,76.0,185.0,22.51867594065867,4.0,1.0,1.0,0.0,0.0,0.0
Pd742da0a27,2023,,79.0,220.0,24.78373778570984,1.0,0.0,1.0,1.0,0.0,0.0
Pe1411c667e,2023,,80.0,260.0,28.562201672840846,3.0,0.0,0.0,0.0,0.0,1.0
Pe356195976,2023,,79.0,205.0,23.093937482138713,1.0,0.0,0.0,1.0,1.0,0.0
Pe60cc64195,2023,,81.0,215.0,23.039164703920022,1.0,0.0,0.0,0.0,1.0,0.0
Pe8ffde2213,2023,,80.0,255.0,28.012928563747753,4.0,0.0,0.0,0.0,1.0,1.0
Pf0ef0714b6,2023,,76.0,195.0,23.735901667180762,1.0,1.0,1.0,0.0,0.0,0.0
Pf85863f4bd,2023,,76.0,190.0,23.127288803919715,1.0,1.0,1.0,0.0,0.0,0.0
Pf9f33f79e7,2023,,84.0,225.0,22.419310575228295,,0.0,0.0,0.0,1.0,1.0
Pfdcf13c664,2023,,79.0,205.0,23.093937482138713,1.0,0.0,1.0,0.0,0.0,0.0
P0d7bcc4d57,2024,,79.0,215.0,24.220471017852795,2.0,0.0,0.0,1.0,1.0,0.0
P0edbaa5011,2024,,78.0,185.0,21.378677224399162,4.0,0.0,1.0,0.0,0.0,0.0
P0f6f43de8d,2024,,80.0,205.0,22.52019747281682,3.0,0.0,0.0,1.0,0.0,0.0
P13f5a8ca49,2024,,81.0,215.0,23.039164703920022,4.0,0.0,0.0,1.0,0.0,0.0
P1a8fd8dc98,2024,,78.0,235.0,27.156698095858392,3.0,0.0,0.0,1.0,0.0,0.0
P1ccfa6c1ee,2024,,89.0,300.0,26.628061342222928,4.0,0.0,0.0,0.0,0.0,1.0
P23152d31e2,2024,,81.0,200.0,21.4317811199256,,0.0,0.0,1.0,1.0,0.0
