pid,draft_year,source_id,publisher
P80eaeaa85d,2020,nbadraft_2020_fallback,nbadraft
P842bafbfda,2020,nbadraft_2020_fallback,nbadraft
P866e6f90bf,2020,nbadraft_2020_fallback,nbadraft
P87be528da0,2020,nbadraft_2020_fallback,nbadraft
P90a7395cb0,2020,nbadraft_2020_fallback,nbadraft
P9cddcdc1ad,2020,nbadraft_2020_fallback,nbadraft
P9d5ce33ec0,2020,nbadraft_2020_fallback,nbadraft
Pa3fa433740,2020,nbadraft_2020_fallback,nbadraft
Pa430d00e1f,2020,nbadraft_2020_fallback,nbadraft
Pa7dbf13041,2020,nbadraft_2020_fallback,nbadraft
Pad0b972baf,2020,walter_serious_2020,walter_serious
Pb3e461d4cf,2020,nbadraft_2020_fallback,nbadraft
Pb7d583a85a,2020,nbadraft_2020_fallback,nbadraft
Pba698d642d,2020,nbadraft_2020_fallback,nbadraft
Pc2d24d5902,2020,nbadraft_2020_fallback,nbadraft
Pc74b3d476e,2020,nbadraft_2020_fallback,nbadraft
Pceb9387e05,2020,nbadraft_2020_fallback,nbadraft
Pd70c9ef8df,2020,nbadraft_2020_fallback,nbadraft
Pdc083a80a9,2020,nbadraft_2020_fallback,nbadraft
Pdc49b6ecb0,2020,nbadraft_2020_fallback,nbadraft
Pde7308c87b,2020,nbadraft_2020_fallback,nbadraft
Pe0b660d280,2020,nbadraft_2020_fallback,nbadraft
Pe237a28a37,2020,nbadraft_2020_fallback,nbadraft
Pe6c9de6d86,2020,nbadraft_2020_fallback,nbadraft
Pee12c1b431,2020,nbadraft_2020_fallback,nbadraft
Pf46613d969,2020,nbadraft_2020_fallback,nbadraft
Pfe5913c014,2020,nbadraft_2020_fallback,nbadraft
P0057628fa2,2021,nbadraft_2021,nbadraft
P0326e23b0d,2021,nbadraft_2021,nbadraft
P05f9ca4653,2021,nbadraft_2021,nbadraft
P152905cef4,2021,nbadraft_2021,nbadraft
P1e1b55c58c,2021,nbadraft_2021,nbadraft
P21372aaded,2021,nbadraft_2021,nbadraft
P2c8aa67899,2021,nbadraft_2021,nbadraft
P30aaba02d5,2021,nbadraft_2021,nbadraft
P3364db28a5,2021,nbadraft_2021,nbadraft
P392363bcf2,2021,nbadraft_2021,nbadraft
P4110110f37,2021,nbadraft_2021,nbadraft
P45a39b68c1,2021,nbadraft_2021,nbadraft
P4e35bd6add,2021,nbadraft_2021,nbadraft
P606c98790a,2021,nbadraft_2021,nbadraft
P61afdc25a4,2021,nbadraft_2021,nbadraft
P64263ced9d,2021,nbadraft_2021,nbadraft
P69549f38f2,2021,nbadraft_2021,nbadraft
P71399e9935,2021,nbadraft_2021,nbadraft
P721d8fa8f9,2021,nbadraft_2021,nbadraft
P7dcdc4ccdd,2021,nbadraft_2021,nbadraft
P82dc635a40,2021,nbadraft_2021,nbadraft
P854a3a23a2,2021,nbadraft_2021,nbadraft
P87ada0d006,2021,nbadraft_2021,nbadraft
P90932c4b0a,2021,nbadraft_2021,nbadraft
P90b2305671,2021,nbadraft_2021,nbadraft
P9badd97dfe,2021,nbadraft_2021,nbadraft
P9e82692a6d,2021,nbadraft_2021,nbadraft
P9fd480084b,2021,nbadraft_2021,nbadraft
Pa0882490f6,2021,nbadraft_2021,nbadraft
Pa090759337,2021,nbadraft_2021,nbadraft
Pac178f1473,2021,nbadraft_2021,nbadraft
Pb1d56c9c96,2021,nbadraft_2021,nbadraft
Pb2632428b5,2021,nbadraft_2021,nbadraft
Pb3cfb2c388,2021,nbadraft_2021,nbadraft
Pba95727095,2021,nbadraft_2021,nbadraft
Pbfadf35dca,2021,nbadraft_2021,nbadraft
Pc131e1ee6f,2021,nbadraft_2021,nbadraft
Pc3e0235987,2021,nbadraft_2021,nbadraft
Pc624860c4a,2021,nbadraft_2021,nbadraft
Pc97a1282a3,2021,nbadraft_2021,nbadraft
Pcf11d56327,2021,nbadraft_2021,nbadraft
Pe225c37146,2021,nbadraft_2021,nbadraft
Pe728a39ea0,2021,nbadraft_2021,nbadraft
Pf0fd005549,2021,nbadraft_2021,nbadraft
Pf6213e9937,2021,nbadraft_2021,nbadraft
Pfce02776de,2021,nbadraft_2021,nbadraft
P1191691c20,2022,nbadraft_2022,nbadraft
P123f055136,2022,nbadraft_2022,nbadraft
P14882ceff6,2022,nbadraft_2022,nbadraft
P16b88a2183,2022,nbadraft_2022,nbadraft
P20596267f7,2022,nbadraft_2022,nbadraft
P22caf129cd,2022,nbadraft_2022,nbadraft
P3a3a5bbbef,2022,nbadraft_2022,nbadraft
P3a5b76349f,2022,nbadraft_2022,nbadraft
P3b1e823247,2022,nbadraft_2022,nbadraft
P3ebbedffb1,2022,nbadraft_2022,nbadraft
P416088a2b5,2022,nbadraft_2022,nbadraft
P4b5f95e771,2022,nbadraft_2022,nbadraft
P4e8883caf8,2022,nbadraft_2022,nbadraft
P50d6953351,2022,nbadraft_2022,nbadraft
P5cba6e4b4b,2022,nbadraft_2022,nbadraft
P6521ad0003,2022,nbadraft_2022,nbadraft
P70fa3dc827,2022,nbadraft_2022,nbadraft
P76ebdc8d77,2022,nbadraft_2022,nbadraft
P76f8234113,2022,nbadraft_2022,nbadraft
P7d4b1d6e8f,2022,nbadraft_2022,nbadraft
P86df290cda,2022,nbadraft_2022,nbadraft
P8c8d5105c2,2022,nbadraft_2022,nbadraft
P919e355315,2022,nbadraft_2022,nbadraft
P9345155d6a,2022,nbadraft_2022,nbadraft
P96bc00aaed,2022,nbadraft_2022,nbadraft
P97df826a61,2022,nbadraft_2022,nbadraft
P9d848af991,2022,nbadraft_2022,nbadraft
Pa067c50f94,2022,nbadraft_2022,nbadraft
Pa06f6a14b5,2022,nbadraft_2022,nbadraft
Pa2e8c74c1f,2022,nbadraft_2022,nbadraft
Pa5128e8532,2022,nbadraft_2022,nbadraft
Pa89859be17,2022,nbadraft_2022,nbadraft
Pa95793f720,2022,nbadraft_2022,nbadraft
Paac5dcb74c,2022,nbadraft_2022,nbadraft
Pab39ee5462,2022,nbadraft_2022,nbadraft
Pae46fa4aa5,2022,nbadraft_2022,nbadraft
Pafb050f1ad,2022,nbadraft_2022,nbadraft
Pbccc770021,2022,nbadraft_2022,nbadraft
Pbfdaa31fd0,2022,nbadraft_2022,nbadraft
Pc69570e4d2,2022,nbadraft_2022,nbadraft
Pce7c8a9da0,2022,nbadraft_2022,nbadraft
Pd5316f2e65,2022,nbadraft_2022,nbadraft
Pd6b4848f72,2022,nbadraft_2022,nbadraft
Pdd8eeaed18,2022,nbadraft_2022,nbadraft
Pe22f69b7a0,2022,nbadraft_2022,nbadraft
Pe3c0fc5a9e,2022,nbadraft_2022,nbadraft
Pe54f989cc8,2022,nbadraft_2022,nbadraft
Pfa7a6f2536,2022,nbadraft_2022,nbadraft
P0035c2f0b3,2023,nbadraft_2023,nbadraft
P07bb9cb58f,2023,nbadraft_2023,nbadraft
P0b253c1504,2023,nbadraft_2023,nbadraft
P0db0d3c576,2023,nbadraft_2023,nbadraft
P144ed94c77,2023,nbadraft_2023,nbadraft
P18c14dbf8f,2023,nbadraft_2023,nbadraft
P1999b4880f,2023,nbadraft_2023,nbadraft
P1e59a7a7a1,2023,nbadraft_2023,nbadraft
P26ad072598,2023,nbadraft_2023,nbadraft
P2a6c79e3dc,2023,nbadraft_2023,nbadraft
P2db6f2cc8f,2023,nbadraft_2023,nbadraft
P47a1cc70a3,2023,nbadraft_2023,nbadraft
P51e5ade0ce,2023,nbadraft_2023,nbadraft
P523c5eb5e6,2023,nbadraft_2023,nbadraft
P5698276a02,2023,nbadraft_2023,nbadraft
P6187cee451,2023,nbadraft_2023,nbadraft
P655613d84a,2023,nbadraft_2023,nbadraft
P659b205e3c,2023,nbadraft_2023,nbadraft
P664a2ede66,2023,nbadraft_2023,nbadraft
P6b4a74f110,2023,nbadraft_2023,nbadraft
P7075ac01b8,2023,nbadraft_2023,nbadraft
P71f8c1b48d,2023,nbadraft_2023,nbadraft
P7200ebcdd8,2023,nbadraft_2023,nbadraft
P7589e6b4d5,2023,nbadraft_2023,nbadraft
P7bf5b1ca03,2023,nbadraft_2023,nbadraft
P89e5a35bc7,2023,nbadraft_2023,nbadraft
