pid,draft_year,ordinal,season_end,war
Ped4ca8f8d6,2015,2,2017,0.003117627
Ped4ca8f8d6,2015,3,2018,1.149741648
Pec96a14b85,2015,1,2016,1.718363757
Pec96a14b85,2015,2,2017,-0.093517945
Pec96a14b85,2015,3,2018,1.059363833
P7d77f683c0,2015,1,2016,-0.98219869
P7d77f683c0,2015,2,2017,2.39459862
P7d77f683c0,2015,3,2018,2.073368145
Pce2a43b358,2015,1,2016,-0.165019198
Pce2a43b358,2015,2,2017,-0.655199329
Pce2a43b358,2015,3,2018,1.150689376
Peaf1686cc0,2015,1,2016,-0.022429133
Peaf1686cc0,2015,2,2017,5.658963711
Peaf1686cc0,2015,3,2018,0.852949392
P2297a93a7f,2015,1,2016,-0.010288281
P2297a93a7f,2015,2,2017,-0.139250903
P2297a93a7f,2015,3,2018,2.52515009
P8d6369038a,2015,1,2016,0.037068263
P8d6369038a,2015,2,2017,1.688923038
P8d6369038a,2015,3,2018,2.481508406
P5492e07ad3,2015,1,2016,-0.328906169
P5492e07ad3,2015,2,2017,-0.128018551
P5492e07ad3,2015,3,2018,1.616700053
P1c43036b93,2015,1,2016,-0.109469835
P1c43036b93,2015,2,2017,0.312932396
P1c43036b93,2015,3,2018,4.076902248
Pcf63b744fe,2015,1,2016,-1.405306215
Pcf63b744fe,2015,2,2017,-0.430000157
Pcf63b744fe,2015,3,2018,0.227704552
P4a125216bc,2015,1,2016,0.083598874
P4a125216bc,2015,2,2017,-0.540353524
P4a125216bc,2015,3,2018,-0.469396284
P2e8c779b09,2015,1,2016,-0.079736317
P2e8c779b09,2015,2,2017,0.008241984
Pf21d262b1c,2015,1,2018,0.539144529
Pb4e1522182,2015,1,2016,1.978907059
Pb4e1522182,2015,2,2017,2.796902756
Pb4e1522182,2015,3,2018,3.498920853
Pe71646e585,2015,1,2016,-0.535334047
Pe71646e585,2015,2,2017,1.572107598
Pe71646e585,2015,3,2018,7.532756082
P831df49905,2015,1,2016,1.708102414
P831df49905,2015,2,2017,2.402118009
P831df49905,2015,3,2018,-1.066419797
Ped46c6be82,2015,1,2016,-0.257225065
Pc381c2ab50,2016,1,2017,0.539095255
Pd0eaa15469,2015,1,2016,-0.052138519
Pd0eaa15469,2015,2,2017,-0.330251764
Pd0eaa15469,2015,3,2018,-1.302553828
P9b79feb6a3,2016,1,2017,-0.177239035
P9b79feb6a3,2016,2,2018,-0.566183673
P128f74a48f,2015,1,2016,0.005179894
P128f74a48f,2015,2,2017,0.065549838
P128f74a48f,2015,3,2018,-0.092091933
Pea73008ab4,2015,1,2016,-0.397466017
Pea73008ab4,2015,2,2017,0.008175167
Pea73008ab4,2015,3,2018,1.823280478
Pa779a7b0cf,2015,1,2017,1.226270293
Pa779a7b0cf,2015,2,2018,0.631060506
P944090784f,2015,1,2016,2.047838039
P944090784f,2015,2,2017,2.642346796
P944090784f,2015,3,2018,7.033024803
Pf38454d2db,2015,1,2016,-0.078701048
Pf38454d2db,2015,2,2017,-0.475985672
Pf38454d2db,2015,3,2018,-0.271330355
P6c859977a5,2015,1,2016,-0.402921928
P6c859977a5,2015,2,2017,-0.438137357
P6c859977a5,2015,3,2018,-0.215000853
Pc5e9e5bdd9,2016,1,2017,-0.293279971
Pc5e9e5bdd9,2016,2,2018,0.360133586
Pdaafce7eb6,2015,1,2016,1.731950494
Pdaafce7eb6,2015,2,2017,1.41661738
Pdaafce7eb6,2015,3,2018,4.699344216
P49f423e70e,2017,1,2018,0.071034359
P6f3f385e9b,2015,1,2016,0.23429369
P6f3f385e9b,2015,2,2017,1.802555331
