pid,draft_year,ordinal,season_end,war
Pba6ba7bcf4,2010,1,2011,0.176736406
P37b821fb18,2009,1,2010,0.296798198
P37b821fb18,2009,2,2011,-0.099598791
P2d536d911b,2009,1,2010,-0.124287412
P1a8bbe3efe,2009,1,2010,0.440142586
P1a8bbe3efe,2009,2,2011,0.069209026
Pad180fa2f7,2010,1,2011,-0.13597882
Pd01ecb3669,2010,1,2011,1.877109095
Ped95bfcd7e,2010,1,2011,-0.190343373
Pcc98298533,2010,1,2011,0.545492845
Peb88f22502,2010,1,2011,1.431521226
P97ae54051b,2010,1,2011,0.208824833
Pc58bcc8049,2010,1,2011,3.073816677
P297adbbd5f,2010,1,2011,-0.247588017
P7f86ce09cc,2010,1,2011,2.911623407
P7e584efe40,2010,1,2011,-0.080905875
P10d0b75bed,2010,1,2011,-0.630593347
P8fac339738,2010,1,2011,0.394596538
P3f25ee2633,2010,1,2011,1.146071036
P502aba077e,2010,1,2011,-0.819403402
P440f6cc00f,2010,1,2011,-0.967684579
P0d0da4d2bc,2010,1,2011,0.037657039
P871b04878c,2010,1,2011,-0.44192733
Pb46ac34cd7,2010,1,2011,-0.186389407
P54e531f2ec,2010,1,2011,-0.05430744
P38bff88a77,2010,1,2011,0.072565074
Pa56ca2c36c,2010,1,2011,-0.048794799
Pdc16ca4e2e,2010,1,2011,-0.24404543
P2c1e066057,2010,1,2011,-0.927369544
P4793f789c0,2010,1,2011,0.036540395
P581e368d46,2010,1,2011,-0.057487078
P830611c613,2010,1,2011,-0.00804887
P815e63680a,2010,1,2011,-0.566650474
P7a82e40751,2010,1,2011,-0.102584764
P27a3420564,2010,1,2011,3.96948144
P966e81614a,2010,1,2011,0.143754742
Pe82bc0553e,2010,1,2011,-0.005840362
P3d55371834,2010,1,2011,-0.142240584
Pc62b6f4e46,2010,1,2011,-0.282853329
P989e9714fc,2010,1,2011,0.046689808
Pec2bc35d4f,2010,1,2011,0.128204321
Pbbec177bac,2010,1,2011,1.088065691
Pe6ceea2b5e,2010,1,2011,-0.103427231
P6ff85cb7e1,2010,1,2011,-0.31855982
P19913201dd,2010,1,2011,0.154847319
P76dbb66d26,2010,1,2011,-0.771675426
Pb486223088,2010,1,2011,0.851077312
P4570803785,2010,1,2011,-0.120507095
P11d27a665c,2010,1,2011,-0.785490355
P467d53ba82,2010,1,2011,-0.601073983
Pebc69ca1f1,2010,1,2011,-0.151244587
Pcdba4ddbae,2010,1,2011,-0.03560738
P9c4bb7f4c2,2010,1,2011,-0.32481821
P5c6144028a,2007,1,2008,0.155489522
P2224af8be2,2007,1,2009,2.192144042
P2224af8be2,2007,2,2010,1.382880851
P12dc2a4dac,2007,1,2008,-1.028082423
P12dc2a4dac,2007,2,2009,-3.166090884
P12dc2a4dac,2007,3,2010,0.240924301
P12dc2a4dac,2007,4,2011,-0.419054261
Pb70d7d0b57,2007,1,2008,-1.387261366
Pb70d7d0b57,2007,2,2009,0.667378657
Pb70d7d0b57,2007,3,2010,0.036473181
Pb70d7d0b57,2007,4,2011,1.352215379
P473b24f6eb,2007,1,2008,-0.11005314
P473b24f6eb,2007,2,2009,1.361197089
P473b24f6eb,2007,3,2010,2.620744892
P473b24f6eb,2007,4,2011,4.605641088
Peefc30f89c,2007,1,2010,0.0
P3b02df9dfc,2008,1,2009,0.040304497
P3b02df9dfc,2008,2,2010,1.1002705
P3b02df9dfc,2008,3,2011,2.951589756
P5f07dfebd6,2008,1,2009,-1.306531596
P5f07dfebd6,2008,2,2010,0.710717367
P5f07dfebd6,2008,3,2011,-0.19713044
P4e0fbd7a78,2008,1,2009,1.461062623
P4e0fbd7a78,2008,2,2010,1.119469179
P4e0fbd7a78,2008,3,2011,1.258848952
P51f87bc5f4,2008,1,2009,6.613958673
P51f87bc5f4,2008,2,2010,2.236186098
P51f87bc5f4,2008,3,2011,4.105971148
P20418f8d52,2009,1,2010,2.390174916
