pid,cmb_bench,cmb_bmi,cmb_body_fat,cmb_hand_len,cmb_hand_width,cmb_lane_agility,cmb_max_vert,cmb_mod_lane_agility,cmb_offdrib_att,cmb_offdrib_pct,cmb_onmove_att,cmb_onmove_pct,cmb_reach_minus_height,cmb_spot15_att,cmb_spot15_pct,cmb_spotcol_att,cmb_spotcol_pct,cmb_spotnba_att,cmb_spotnba_pct,cmb_sprint,cmb_stand_vert,cmb_wing_minus_height
P146ec7320a,22.0,26.95,8.2,,,10.95,35.5,,,,,,24.5,,,,,,,3.28,32.0,2.75
P4c4f563b8c,18.0,25.57,8.5,,,11.12,34.0,,,,,,25.75,,,,,,,3.27,27.5,3.25
P2acc089d0e,17.0,27.02,10.1,,,11.1,37.0,,,,,,27.5,,,,,,,3.13,31.5,6.75
Pef77516e2b,8.0,26.12,4.4,,,11.17,35.0,,,,,,26.5,,,,,,,3.14,31.5,6.25
P3391f209f3,11.0,24.75,6.0,,,12.23,35.0,,,,,,26.75,,,,,,,3.3,31.0,4.25
Pab257f8a15,6.0,24.71,6.3,,,10.64,34.0,,,,,,25.25,,,,,,,3.21,28.5,3.75
P60425a0c89,18.0,28.97,12.0,,,11.21,35.0,,,,,,26.5,,,,,,,3.23,30.5,5.75
P20418f8d52,14.0,27.23,6.6,,,10.98,36.5,,,,,,23.25,,,,,,,3.12,29.0,1.5
Pe79f6d1bdb,8.0,20.86,5.4,,,10.78,31.5,,,,,,22.75,,,,,,,3.19,28.5,0.25
Pa0dded8876,14.0,26.42,8.0,,,10.96,37.0,,,,,,23.0,,,,,,,3.1,28.5,1.5
P1015da4297,8.0,24.29,6.9,,,10.87,33.0,,,,,,23.75,,,,,,,3.1,27.5,2.75
Pcb72b419f2,10.0,25.88,8.5,,,11.1,32.5,,,,,,27.25,,,,,,,3.45,28.5,1.75
P322900af3b,11.0,25.79,12.4,,,10.99,31.0,,,,,,24.5,,,,,,,3.22,26.0,3.25
P977d8b209e,15.0,27.2,6.6,,,10.94,34.5,,,,,,27.25,,,,,,,3.17,29.5,5.5
P57802757ed,16.0,25.58,5.8,,,11.54,37.5,,,,,,25.5,,,,,,,3.32,34.0,5.25
P0086aec335,13.0,23.59,4.5,,,11.05,36.5,,,,,,26.25,,,,,,,3.18,30.5,7.25
