pid,traj_d_ast36,traj_d_blk36,traj_d_fg,traj_d_fg3,traj_d_ft,traj_d_mpg,traj_d_pts36,traj_d_reb36,traj_d_stl36,traj_last_gp,traj_last_is_peak,traj_last_mpg,traj_last_pts36,traj_mpg_growth,traj_n_seasons,traj_path,traj_slope_mpg,traj_slope_pts36,traj_years_span
Pd50459cb6d,,,,,,,,,,27.0,1,7.5,14.4,0.0,1,1,,,0
Pa98bcc077b,2.358,-0.097,0.017,-0.042,0.046,-1.5,4.167,1.925,0.054,37.0,1,34.0,21.812,19.3,4,1,7.18,2.573,3
P4e9a2418a1,64.865,,0.156,-1.241,-0.374,0.13,,75.73,958.865,0.472,,0.33,,-15.67,8,0,-1.574,0.033,7
P6f92e02de4,,,,,,,,,,37.0,1,34.4,14.023,0.0,1,1,,,0
Pc72bfd628e,0.2,-0.287,0.072,0.154,-0.031,14.7,2.201,-0.578,0.395,35.0,0,31.1,14.932,6.9,4,1,1.17,-0.745,4
Pcad0645e5a,0.369,0.063,0.028,-0.051,-0.03,2.1,2.251,0.049,0.566,33.0,1,36.2,18.298,2.4,3,1,1.2,2.013,2
P54240b8a24,0.029,-0.229,0.069,0.065,0.103,-0.6,-2.588,-2.421,-0.1,25.0,0,29.6,13.743,9.0,3,1,4.5,-0.468,2
P24e5e8b7dc,-0.399,-0.282,-0.029,0.072,0.081,3.6,4.489,0.344,0.139,40.0,1,32.0,20.588,5.3,3,1,2.65,3.08,2
Pee7c22ed91,-0.18,-0.784,-0.032,0.0,-0.035,-2.22,2.804,-0.44,0.725,27.0,1,6.51,11.277,-2.22,2,0,-2.219,2.804,1
Pd4282e2cb6,,,,,,,,,,32.0,1,35.4,27.864,0.0,1,1,,,0
P0e202d21b8,-0.24,-0.821,0.021,-1.0,-0.206,-4.3,3.087,-1.196,-0.785,23.0,1,28.2,19.149,21.3,5,1,6.62,2.163,4
Pebbd613418,0.186,0.003,-0.042,0.027,-0.005,-1.1,0.746,0.195,0.32,35.0,1,36.4,15.626,0.0,4,1,0.22,1.219,3
Pc5e9e5bdd9,-0.585,0.113,-0.009,0.044,-0.003,1.1,-0.262,-0.211,-0.41,33.0,0,29.4,19.837,12.6,4,1,3.85,1.491,3
Pf2b31fcc76,-0.284,-0.275,-0.023,-0.075,0.151,-5.4,-0.48,0.96,0.459,26.0,0,28.5,10.989,23.3,4,1,9.21,2.313,3
Pb69fbd28c6,1.486,0.102,0.034,0.034,0.009,3.0,2.028,1.687,-0.399,38.0,1,35.4,17.695,16.8,3,1,8.4,1.589,2
P64210277c7,-0.463,0.004,0.032,0.167,0.009,3.4,0.623,1.017,-0.046,23.0,0,17.3,12.277,6.3,4,1,1.62,0.962,3
P40d023c55e,0.18,-0.403,-0.029,-0.041,0.142,0.4,-0.426,-0.02,-0.111,27.0,0,37.0,21.016,5.5,4,1,2.0,0.871,3
P420fe29f13,0.808,-0.124,0.033,0.023,-0.024,2.1,4.093,1.161,-0.052,31.0,1,32.9,18.821,2.1,2,1,2.1,4.093,1
Pe364fefd34,-0.148,-0.18,0.004,0.011,-0.113,-0.6,-1.927,-1.317,-0.167,31.0,0,18.1,11.934,13.5,6,0,2.366,1.089,11
P4396f0664b,0.771,-0.112,-0.043,,0.023,5.2,-0.067,-0.651,-0.376,39.0,0,23.3,18.232,16.0,4,1,5.13,3.919,3
P0252f7ff7f,-0.347,-0.289,0.039,0.013,-0.016,-2.4,2.193,1.362,-0.038,34.0,0,28.7,11.916,2.8,5,1,1.09,-0.263,4
Ped6b9a1a7c,,,,,,,,,,32.0,1,23.3,15.451,0.0,1,1,,,0
P1424b0c02d,-1.59,0.049,-0.055,-0.007,-0.166,2.4,2.248,0.171,0.367,33.0,0,32.1,8.187,21.8,5,1,4.36,-0.304,4
Pddcf4609af,0.986,-0.067,0.047,-0.061,0.019,-1.3,0.382,0.347,-0.421,36.0,1,37.3,16.89,4.7,3,1,2.35,1.764,2
P16938f3fa9,1.76,-0.126,-0.033,-0.096,-0.021,0.4,7.521,-1.303,0.841,32.0,1,29.3,23.59,0.4,2,1,0.4,7.521,1
Pbc5d4fc393,0.38,0.378,0.004,,0.049,0.1,0.567,3.031,0.252,38.0,1,28.2,20.809,20.4,4,1,7.2,2.039,3
