pid,txt_athlete,txt_athlete_per1k,txt_breakout,txt_breakout_per1k,txt_character,txt_character_per1k,txt_defender,txt_defender_per1k,txt_exists,txt_hype,txt_hype_per1k,txt_injury,txt_injury_per1k,txt_left,txt_left_per1k,txt_national,txt_national_per1k,txt_nba_family,txt_nba_family_per1k,txt_negative,txt_negative_per1k,txt_playmaker,txt_playmaker_per1k,txt_positive,txt_positive_per1k,txt_prep,txt_prep_per1k,txt_pro_family,txt_pro_family_per1k,txt_projected_pick,txt_refs,txt_sections,txt_shooter,txt_shooter_per1k,txt_size,txt_size_bytes,txt_size_per1k,txt_tone,txt_transfer,txt_transfer_per1k,txt_words
P2acab9acdb,0,0.0,0,0.0,0,0.0,0,0.0,1,0,0.0,2,17.544,0,0.0,0,0.0,0,0.0,0,0.0,2,17.544,0,0.0,0,0.0,0,0.0,,6,2,0,0.0,0,2920,0.0,0.0,0,0.0,114
P2acc089d0e,1,1.515,2,3.03,0,0.0,0,0.0,1,9,13.636,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,3,4.545,2,3.03,0,0.0,0,0.0,,11,5,0,0.0,0,7173,0.0,0.4,0,0.0,660
P2ad4235514,0,0.0,0,0.0,0,0.0,6,9.449,1,2,3.15,0,0.0,0,0.0,4,6.299,0,0.0,1,1.575,2,3.15,3,4.724,0,0.0,1,4.724,,19,5,0,0.0,0,10106,0.0,0.286,0,0.0,635
P2ad610b277,0,0.0,0,0.0,0,0.0,2,3.15,1,1,1.575,0,0.0,0,0.0,4,6.299,0,0.0,0,0.0,1,1.575,4,6.299,0,0.0,1,1.575,,15,6,2,3.15,0,8388,0.0,0.571,0,0.0,635
P2b13664da5,0,0.0,1,2.358,0,0.0,0,0.0,1,0,0.0,3,7.075,0,0.0,0,0.0,0,0.0,0,0.0,2,4.717,1,2.358,0,0.0,1,2.358,,10,7,0,0.0,0,7030,0.0,0.25,0,0.0,424
P2b19f4fd38,0,0.0,0,0.0,0,0.0,0,0.0,1,1,2.331,0,0.0,0,0.0,10,23.31,0,0.0,0,0.0,2,4.662,1,2.331,0,0.0,0,0.0,,15,4,1,2.331,0,6970,0.0,0.25,0,0.0,429
P2b78092e41,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P2b95cb9990,0,0.0,0,0.0,0,0.0,3,4.95,1,7,11.551,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,2,3.3,0,0.0,0,0.0,,20,6,1,1.65,0,11254,0.0,0.4,1,1.65,606
P2bc6f2a3aa,0,0.0,0,0.0,1,1.481,0,0.0,1,10,14.815,2,2.963,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,2,2.963,0,0.0,1,1.481,,25,10,0,0.0,0,14688,0.0,0.4,1,2.963,675
P2bc925c307,0,0.0,0,0.0,0,0.0,0,0.0,1,2,5.917,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,2.959,3,8.876,0,0.0,0,0.0,,4,4,1,2.959,0,3426,0.0,0.5,0,0.0,338
