pid,gt_ratio,gt_peak_ratio,gt_last30_ratio,gt_trend,gt_zero_share,gt_days_above10,gt_topic,gt_class_pct
P61d8f8df57,0.0,0.0,0.0,1.0,1.0,0,0,0.0
Pd084613a9a,0.0,0.0,0.0,1.0,1.0,0,0,0.0
Pb52cacc824,0.0007,0.01,0.0,1.0,0.995,0,0,0.593
P8683784c59,0.0,0.0,0.0,1.0,1.0,0,0,0.0
P24c85e006b,0.0,0.0,0.0,1.0,1.0,0,0,0.0
P57690f53ec,0.0,0.0,0.0,1.0,1.0,0,0,0.0
P9e732e040b,0.0068,0.03,0.0,0.882,0.948,0,0,0.812
P396ba96b58,0.0,0.0,0.0,1.0,1.0,0,0,0.0
P14a31d76da,0.0,0.0,0.0,1.0,1.0,0,0,0.0
Pd742da0a27,0.0009,0.01,0.0,0.989,0.994,0,0,0.58
Pa306b38c4f,0.0005,0.01,0.0,0.989,0.994,0,0,0.549
P93a802efd4,0.0,0.0,0.0,1.0,1.0,0,0,0.0
P4bbcd3bc18,0.0005,0.01,0.0,0.989,0.994,0,0,0.549
Pcf11d56327,0.0,0.0,0.0,1.0,1.0,0,0,0.0
P1e59a7a7a1,0.0017,0.01,0.0034,1.033,0.988,0,0,0.71
P999bb1cbab,0.0009,0.01,0.0,0.989,0.994,0,0,0.4
Pa06f6a14b5,0.0006,0.01,0.0,0.989,0.994,0,0,0.573
Pc624860c4a,0.0,0.0,0.0,1.0,1.0,0,0,0.0
Pe22f69b7a0,0.0,0.0,0.0,1.0,1.0,0,0,0.0
P4b5f95e771,0.0,0.0,0.0,1.0,1.0,0,0,0.0
P41704425e7,0.0,0.0,0.0,1.0,1.0,0,0,0.0
P473649a3ff,0.0416,0.05,0.0084,0.708,0.65,0,0,0.947
P34c7aa9885,0.0097,0.04,0.0,0.947,0.943,0,0,0.876
P9305edebac,0.0,0.0,0.0,1.0,1.0,0,0,0.0
P85bbbd5241,0.0,0.0,0.0,1.0,1.0,0,0,0.0
Pd3ead775c1,0.0,0.0,0.0,1.0,1.0,0,0,0.0
Pe896f378ca,0.0,0.0,0.0,1.0,1.0,0,0,0.0
