pid,draft_year,source_year,source_filename,source_row,match_method
P4c4f563b8c,2009,2009,combine_2009.json,22,unique_nba_id
Pc430805a15,2009,2009,combine_2009.json,9,unique_nba_id
P7ef2b1cf05,2009,2009,combine_2009.json,13,unique_nba_id
P60425a0c89,2009,2009,combine_2009.json,29,unique_nba_id
Pab257f8a15,2009,2009,combine_2009.json,27,unique_nba_id
P0086aec335,2009,2009,combine_2009.json,41,unique_nba_id
Pe79f6d1bdb,2009,2009,combine_2009.json,31,unique_nba_id
P7d7c4d5568,2009,2009,combine_2009.json,7,unique_nba_id
Pcb72b419f2,2009,2009,combine_2009.json,36,unique_nba_id
P57a6e7dc53,2009,2009,combine_2009.json,2,unique_nba_id
P38fd19ed26,2009,2009,combine_2009.json,19,unique_nba_id
P117b8ca478,2009,2009,combine_2009.json,6,unique_nba_id
P6fd4123c4d,2009,2009,combine_2009.json,16,unique_nba_id
Pc99e2f6730,2009,2009,combine_2009.json,15,unique_nba_id
P4f7ec9f72f,2009,2009,combine_2009.json,1,unique_nba_id
P57802757ed,2009,2009,combine_2009.json,40,unique_nba_id
P3326a2a68b,2009,2009,combine_2009.json,11,unique_nba_id
P977d8b209e,2009,2009,combine_2009.json,39,unique_nba_id
Pc643573699,2009,2009,combine_2009.json,45,unique_nba_id
P5e4e4a8cf1,2009,2009,combine_2009.json,3,unique_nba_id
Pe7ad570728,2009,2009,combine_2009.json,4,unique_nba_id
Pa0dded8876,2009,2009,combine_2009.json,34,unique_nba_id
P922c03ccad,2009,2009,combine_2009.json,5,unique_nba_id
P456fdc6328,2009,2009,combine_2009.json,20,unique_nba_id
P322900af3b,2009,2009,combine_2009.json,37,unique_nba_id
P1015da4297,2009,2009,combine_2009.json,35,unique_nba_id
Pd01ecb3669,2010,2010,combine_2010.json,48,unique_nba_id
Ped95bfcd7e,2010,2010,combine_2010.json,44,unique_nba_id
Pcc98298533,2010,2010,combine_2010.json,15,unique_nba_id
Peb88f22502,2010,2010,combine_2010.json,26,unique_nba_id
P97ae54051b,2010,2010,combine_2010.json,45,unique_nba_id
Pc58bcc8049,2010,2010,combine_2010.json,32,unique_nba_id
P297adbbd5f,2010,2010,combine_2010.json,2,unique_nba_id
P7f86ce09cc,2010,2010,combine_2010.json,18,unique_nba_id
P7e584efe40,2010,2010,combine_2010.json,1,unique_nba_id
P10d0b75bed,2010,2010,combine_2010.json,23,unique_nba_id
P8fac339738,2010,2010,combine_2010.json,13,unique_nba_id
P3f25ee2633,2010,2010,combine_2010.json,35,unique_nba_id
P502aba077e,2010,2010,combine_2010.json,40,unique_nba_id
P0d0da4d2bc,2010,2010,combine_2010.json,5,unique_nba_id
P871b04878c,2010,2010,combine_2010.json,8,unique_nba_id
Pb46ac34cd7,2010,2010,combine_2010.json,3,unique_nba_id
P54e531f2ec,2010,2010,combine_2010.json,7,unique_nba_id
P38bff88a77,2010,2010,combine_2010.json,25,unique_nba_id
Pa56ca2c36c,2010,2010,combine_2010.json,28,unique_nba_id
P2c1e066057,2010,2010,combine_2010.json,12,unique_nba_id
P4793f789c0,2010,2010,combine_2010.json,47,unique_nba_id
P581e368d46,2010,2010,combine_2010.json,36,unique_nba_id
P830611c613,2010,2010,combine_2010.json,51,unique_nba_id
P815e63680a,2010,2010,combine_2010.json,27,unique_nba_id
P96ac6f0cd3,2010,2010,combine_2010.json,24,unique_nba_id
P7a82e40751,2010,2010,combine_2010.json,37,unique_nba_id
P966e81614a,2010,2010,combine_2010.json,14,unique_nba_id
Pe82bc0553e,2010,2010,combine_2010.json,31,unique_nba_id
P3d55371834,2010,2010,combine_2010.json,0,unique_nba_id
Pc62b6f4e46,2010,2010,combine_2010.json,19,unique_nba_id
Pec2bc35d4f,2010,2010,combine_2010.json,49,unique_nba_id
P6ff85cb7e1,2010,2010,combine_2010.json,9,unique_nba_id
P4570803785,2010,2010,combine_2010.json,10,unique_nba_id
P9c4bb7f4c2,2010,2010,combine_2010.json,20,unique_nba_id
Pb035a35ee9,2011,2011,combine_2011.json,52,unique_nba_id
P5969d3ea2a,2011,2011,combine_2011.json,21,unique_nba_id
Pc8dae45369,2011,2011,combine_2011.json,47,unique_nba_id
P4a7a8900d7,2011,2011,combine_2011.json,22,unique_nba_id
P2e890c30d2,2011,2011,combine_2011.json,51,unique_nba_id
Pb0e43997bd,2011,2011,combine_2011.json,48,unique_nba_id
P9e7b32dc92,2011,2011,combine_2011.json,2,unique_nba_id
P2d49f5a403,2011,2011,combine_2011.json,32,unique_nba_id
