pid,source,fiba_person_id,n_tournaments_predraft,tournament_ids,urls
P714602a9aa,fiba.basketball,224413,1,276_10628,https://www.fiba.basketball/en/history/276-fiba-u19-basketball-world-cup/10628
P6f1d3c64d2,fiba.basketball,225019,1,256_6329,https://www.fiba.basketball/en/history/256-fiba-u18-americup/6329
Pe661d7acde,fiba.basketball,211703,1,256_6329,https://www.fiba.basketball/en/history/256-fiba-u18-americup/6329
P14a01dedf9,fiba.basketball,236704,1,276_10628,https://www.fiba.basketball/en/history/276-fiba-u19-basketball-world-cup/10628
Pd50729b5d0,fiba.basketball,213325,1,249_9678,https://www.fiba.basketball/en/history/249-fiba-u17-basketball-world-cup/9678
P224fa713e4,fiba.basketball,189079,1,249_5078,https://www.fiba.basketball/en/history/249-fiba-u17-basketball-world-cup/5078
Pf6658be174,fiba.basketball,203180,1,249_5075,https://www.fiba.basketball/en/history/249-fiba-u17-basketball-world-cup/5075
Pbec5e357b6,fiba.basketball,189128,1,249_5078,https://www.fiba.basketball/en/history/249-fiba-u17-basketball-world-cup/5078
P6a3fce0af3,fiba.basketball,236705,1,276_10628,https://www.fiba.basketball/en/history/276-fiba-u19-basketball-world-cup/10628
Pc53511377b,fiba.basketball,211762,1,276_10628,https://www.fiba.basketball/en/history/276-fiba-u19-basketball-world-cup/10628
P90844406b5,fiba.basketball,161042,1,263_4956,https://www.fiba.basketball/en/history/263-fiba-u18-eurobasket/4956
P1a41a85440,fiba.basketball,218682,1,249_9678,https://www.fiba.basketball/en/history/249-fiba-u17-basketball-world-cup/9678
P76d288c08d,fiba.basketball,205825,1,249_5075,https://www.fiba.basketball/en/history/249-fiba-u17-basketball-world-cup/5075
P48e78aee32,fiba.basketball,211235,1,254_8090,https://www.fiba.basketball/en/history/254-fiba-u18-afrobasket/8090
P71e4b2b4d3,fiba.basketball,203140,1,249_5075,https://www.fiba.basketball/en/history/249-fiba-u17-basketball-world-cup/5075
P6d3980e9f0,fiba.basketball,203175,1,249_5075,https://www.fiba.basketball/en/history/249-fiba-u17-basketball-world-cup/5075
P7699b7f669,fiba.basketball,235747,1,249_6362,https://www.fiba.basketball/en/history/249-fiba-u17-basketball-world-cup/6362
Pfe5913c014,fiba.basketball,226598,1,249_6362,https://www.fiba.basketball/en/history/249-fiba-u17-basketball-world-cup/6362
P1388f2fd26,fiba.basketball,268845,1,276_208102,https://www.fiba.basketball/en/history/276-fiba-u19-basketball-world-cup/208102
P0df73941d8,fiba.basketball,251997,1,276_208102,https://www.fiba.basketball/en/history/276-fiba-u19-basketball-world-cup/208102
P388cb0d5da,fiba.basketball,251329,1,256_6366,https://www.fiba.basketball/en/history/256-fiba-u18-americup/6366
Pe0b660d280,fiba.basketball,235751,1,249_6362,https://www.fiba.basketball/en/history/249-fiba-u17-basketball-world-cup/6362
P842bafbfda,fiba.basketball,223158,1,249_6362,https://www.fiba.basketball/en/history/249-fiba-u17-basketball-world-cup/6362
Pa3fa433740,fiba.basketball,251343,1,256_6366,https://www.fiba.basketball/en/history/256-fiba-u18-americup/6366
P87be528da0,fiba.basketball,236763,1,276_208102,https://www.fiba.basketball/en/history/276-fiba-u19-basketball-world-cup/208102
P3c885ec031,fiba.basketball,235743,1,249_6362,https://www.fiba.basketball/en/history/249-fiba-u17-basketball-world-cup/6362
P63236d3a70,fiba.basketball,224678,2,249_9678;276_10628,https://www.fiba.basketball/en/history/249-fiba-u17-basketball-world-cup/9678;https://www.fiba.basketball/en/history/276-fiba-u19-basketball-world-cup/10628
Pf46613d969,fiba.basketball,236076,1,276_10628,https://www.fiba.basketball/en/history/276-fiba-u19-basketball-world-cup/10628
Pad0b972baf,fiba.basketball,235735,1,249_6362,https://www.fiba.basketball/en/history/249-fiba-u17-basketball-world-cup/6362
Pde7308c87b,fiba.basketball,226601,1,249_6362,https://www.fiba.basketball/en/history/249-fiba-u17-basketball-world-cup/6362
P04b95b58e0,fiba.basketball,143948,1,263_2703,https://www.fiba.basketball/en/history/263-fiba-u18-eurobasket/2703
