pid,draft_year,actual_pick,reason,n_name_candidates
Pa760c9001c,2006,38.0,no_d1_season_match,0
Pac436e0a75,2006,54.0,no_d1_season_match,0
Pad940d555c,2006,33.0,no_d1_season_match,0
Pb01091942c,2006,30.0,no_d1_season_match,0
Pb87d740adf,2006,,no_d1_season_match,0
Pb8998ddf4a,2006,,no_d1_season_match,0
Pbdc6b072d0,2006,,no_d1_season_match,1
Pc858ff68e6,2006,59.0,no_d1_season_match,0
Pcbdc976fea,2006,,no_d1_season_match,0
Pce8689cb8f,2006,34.0,no_d1_season_match,1
Pd12b8cef29,2006,,no_d1_season_match,0
Pd1e1adb03d,2006,,no_d1_season_match,3
Pd31d743729,2006,4.0,no_d1_season_match,0
Pd47bfc21b1,2006,17.0,no_d1_season_match,0
Pdb7c6b10a9,2006,28.0,no_d1_season_match,0
Pe047befac5,2006,,no_d1_season_match,0
Pe056071397,2006,18.0,no_d1_season_match,0
Pe4baee43bf,2006,37.0,no_d1_season_match,1
Pe5c2b5692d,2006,19.0,no_d1_season_match,0
Pe77ed0b343,2006,,no_d1_season_match,0
Pec84345bbc,2006,49.0,no_d1_season_match,0
Peed487fb04,2006,43.0,no_d1_season_match,0
Pf037b649bc,2006,,no_d1_season_match,0
Pf919ba1bb3,2006,7.0,no_d1_season_match,0
Pff1fab2e32,2006,1.0,no_d1_season_match,0
P02f9f17423,2007,,no_d1_season_match,0
P0f110bb83f,2007,47.0,no_d1_season_match,0
P12dc2a4dac,2007,10.0,no_d1_season_match,0
P1311f2955b,2007,27.0,no_d1_season_match,0
P1605b30cec,2007,,no_d1_season_match,0
P168e9ad8d4,2007,26.0,no_d1_season_match,0
P1a6f58deb5,2007,40.0,no_d1_season_match,0
P2224af8be2,2007,1.0,no_d1_season_match,0
P23d9f5804f,2007,6.0,no_d1_season_match,0
P243742fc34,2007,15.0,no_d1_season_match,0
P25a045baff,2007,13.0,no_d1_season_match,0
