pid,draft_year,vcons_dx_rank,vcons_nbadraft_rank,vcons_walter_serious_rank
Pd808e1b5f8,2017,21.0,36.0,
Pd8381f9e2c,2026,,25.0,
Pd856e50561,2016,11.0,11.0,
Pd88150bb39,2026,,18.0,
Pd88f1bdac2,2019,,56.0,
Pd8f68848a0,2025,,18.0,
Pdaafce7eb6,2015,,58.0,
Pdb3bcb3fc8,2017,11.0,14.0,
Pdb78b3595b,2017,42.0,37.0,
Pdb9cad4004,2018,,38.0,
Pdbf2a4e286,2024,,45.0,
Pdc083a80a9,2020,,33.0,
Pdc49b6ecb0,2020,,47.0,
Pdd8eeaed18,2022,,47.0,
Pddcf4609af,2016,25.0,25.0,
Pdde13713ff,2025,,15.0,
Pde7308c87b,2020,,16.0,5.0
Pdec9ef7c46,2025,,30.0,
Pdf5a3388b3,2024,,37.0,
Pe0b660d280,2020,,31.0,6.0
Pe1411c667e,2023,,49.0,
Pe225c37146,2021,,49.0,
Pe22f69b7a0,2022,,24.0,
Pe237a28a37,2020,,29.0,
Pe2eac4ddf4,2016,38.0,,
Pe356195976,2023,,45.0,
Pe3864f9800,2017,6.0,4.0,
Pe3c0fc5a9e,2022,,12.0,
Pe54f989cc8,2022,,39.0,
Pe56ae9c7aa,2017,4.0,3.0,
Pe581c6d22f,2018,,54.0,
Pe5fb05fea3,2017,25.0,46.0,
Pe60cc64195,2023,,10.0,
Pe6c9de6d86,2020,,13.0,
Pe6fe5c747b,2017,10.0,10.0,
Pe71646e585,2015,30.0,24.0,
Pe728a39ea0,2021,,51.0,
Pe79de9d05b,2024,,30.0,
Pe7f5f31a46,2015,47.0,30.0,
Pe8ffde2213,2023,,54.0,
Pea59b43adb,2017,52.0,,
Pea73008ab4,2015,42.0,47.0,
Peaf1686cc0,2015,12.0,12.0,
Peb77360d78,2018,,7.0,8.0
Pec8256037d,2025,,35.0,
Pec96a14b85,2015,10.0,14.0,
Ped6b9a1a7c,2019,,9.0,9.0
Pee12c1b431,2020,,52.0,
Peecc71d248,2019,,23.0,
Pefc5241948,2018,,34.0,
Pf02a0c42ed,2026,,27.0,
Pf0ef0714b6,2023,,8.0,
Pf0fd005549,2021,,20.0,
Pf120e8dc11,2024,,23.0,
Pf18fe42b62,2017,18.0,17.0,
Pf1b3205a09,2019,,37.0,
Pf1eb0b11c1,2015,4.0,5.0,
Pf20205fffb,2016,41.0,37.0,
Pf21d262b1c,2015,40.0,45.0,
Pf25d15a954,2025,,46.0,
Pf271325d7b,2018,,35.0,
Pf38ea886b7,2025,,48.0,
Pf3b62cae3c,2025,,2.0,
Pf450c7fe3d,2019,,43.0,
Pf46613d969,2020,,45.0,
Pf4a65045a1,2024,,18.0,
Pf4e651b50c,2025,,11.0,
Pf507011aa5,2018,,27.0,
Pf5ec6d144b,2018,,29.0,
Pf5fb4e36b6,2016,44.0,41.0,
Pf6213e9937,2021,,22.0,
Pf62abcdcde,2017,7.0,11.0,
Pf634b73f97,2015,31.0,50.0,
Pf781dda14b,2017,29.0,21.0,
Pf7cf72315c,2024,,56.0,
Pf85863f4bd,2023,,37.0,
Pf8b83ac1f0,2016,56.0,42.0,
Pf9ebd1b271,2016,6.0,6.0,
Pf9f33f79e7,2023,,46.0,
Pfa4c05beee,2016,29.0,32.0,
Pfa7a6f2536,2022,,3.0,
Pfaef4e4fa0,2017,,60.0,
Pfc563b417e,2025,,52.0,
Pfc8df2f375,2026,,39.0,
Pfce02776de,2021,,28.0,
Pfd12de1732,2026,,23.0,
Pfd3b474513,2024,,31.0,
Pfd690eb68d,2015,,38.0,
Pfd95ad31d4,2016,51.0,,
Pfdcf13c664,2023,,14.0,
Pfe4fcea486,2019,,2.0,2.0
Pfe5913c014,2020,,4.0,
Pff77feae98,2015,8.0,10.0,
