pid,tcf_season_final,tcf_conf_gp,tcf_conf_gp_share,tcf_usg,tcf_d_usg,tcf_ortg,tcf_d_ortg,tcf_adjoe,tcf_d_adjoe,tcf_drtg,tcf_d_drtg,tcf_adrtg,tcf_d_adrtg,tcf_bpm,tcf_d_bpm,tcf_obpm,tcf_d_obpm,tcf_dbpm,tcf_d_dbpm,tcf_ts,tcf_d_ts,tcf_efg,tcf_d_efg,tcf_ast_per,tcf_d_ast_per,tcf_tov_per,tcf_d_tov_per,tcf_orb_per,tcf_d_orb_per,tcf_drb_per,tcf_d_drb_per,tcf_stl_per,tcf_d_stl_per,tcf_blk_per,tcf_d_blk_per,tcf_ftr,tcf_d_ftr,tcf_tp3_pct,tcf_d_tp3_pct,tcf_tpar,tcf_d_tpar,tcf_tpa100,tcf_d_tpa100,tcf_porpag,tcf_d_porpag,tcf_minper,tcf_d_minper,tcf_pts_pg,tcf_d_pts_pg,tcf_reb_pg,tcf_d_reb_pg,tcf_ast_pg,tcf_d_ast_pg
Pe8dc26218f,2013,18,0.545455,12.9,0.1,120.3,0.3,113.864,1.418,106.646,4.426,101.784,3.5779,6.68477,0.37566,4.91057,-0.02087,1.7742,0.39653,59.4,2.39,57,2.4,12.2,0.5,13.3,0.5,1.6,-0.4,10.2,0.7,1.7,-0.2,0.8,0,23.4,0.2,0.408,0.026,0.765625,0.0483254,9.32208,0.31863,3.34427,0.30131,84.2,8.1,9.3889,0.298,3.6111,0.2172,2.3333,0.0909
Pe8e75a6d90,2024,20,0.625,32.1,1.4,109.8,-1.1,134.258,3.295,103.066,3.4008,95.1344,0.6615,6.99892,0.13667,5.46098,0.40254,1.53794,-0.26586,52.95,-1.61,43.5,-2.5,28.6,-1.4,13.2,-1.8,3.6,0.4,13.7,0.8,2,-0.3,0.6,-0.3,46.2,1.6,0.296,-0.028,0.317647,-0.0332657,8.78283,-0.36974,5.81931,0.68108,91.8,7.1,21.95,1.575,5.35,0.475,4.1,-0.1188
Pe8ffde2213,2023,18,0.5625,23.6,-0.9,125.8,3.2,140.687,4.832,99.5091,5.6849,94.6163,5.2105,9.75118,-0.54592,6.41087,0.13992,3.3403,-0.68586,60.22,-0.04,54.5,-1.5,8.1,-1.3,12.4,-2.4,18.2,-1.3,27.2,-0.7,2.6,-0.3,2.5,-0.8,65.1,11.1,0,0,0.010582,0.00483488,0.194521,0.082788,6.46144,0.84766,87.1,8.8,16.5556,0.0868,13.2778,-0.3784,1.3889,-0.1736
Pe966e23e9c,2014,18,0.5625,22.2,-0.9,118.1,-1.5,128.488,-0.091,107.579,-0.836,101.736,-3.096,6.05622,4e-05,5.74691,0.16114,0.309312,-0.161097,60.24,0.47,57.5,1.9,15,-0.4,13,0.8,2.5,0.2,9.4,-1.2,1.5,-0.2,2.5,-0.3,20.7,-6.4,0.386,-0.005,0.547414,0.0186782,12.2024,0.1693,4.78672,-0.0488,85.8,-0.7,17.0556,-1.2882,3.3889,-0.3299,2.4444,-0.0868
Pe9bc98eac8,2021,12,0.545455,19,1,99.7,-9.5,93.343,-9.075,96.4779,-1.4178,104.414,2.182,-1.33726,-1.61963,-1.57002,-2.11918,0.232763,0.499554,51.73,-7.07,50,-6,4.1,-1.2,16.3,0.7,4.2,0.6,17.4,0.7,1.9,0.3,3.1,1.1,24.7,-8.4,0.373,-0.034,0.662338,-0.0218729,12.1612,0.9943,0.520754,-0.698586,46.4,-2.6,7.4167,-0.6268,3.5833,-0.2428,0.4167,-0.105
Pea59b43adb,2017,18,0.5,19,-0.1,103.1,-12.8,109.333,-13.114,92.2636,-0.363,87.1563,-0.6095,6.23896,-1.78727,1.9666,-1.94354,4.27236,0.15627,50.83,-6.81,49,-5.7,3.6,-1.2,13.5,1.3,7.6,0.3,18.2,-0.3,2,0.1,3.5,0.4,22.9,-10.9,0.355,-0.036,0.394904,0.0270115,7.23389,0.64598,1.98372,-1.16358,66.3,0.9,9.8333,-1.2778,6.2222,0.1111,0.5,-0.1389
Pea73008ab4,2015,18,0.473684,15.5,-1.2,115.5,-4.9,116.579,-3.705,106.071,6.113,99.0972,3.2365,6.86961,-0.6139,5.28977,-0.28828,1.57984,-0.32562,56.87,-4.59,54.8,-4.9,6.5,-1.1,9.2,-3,3.7,-0.5,20,-0.4,0.9,-0.4,2.4,-0.3,18.1,0.1,0.404,-0.019,0.656627,0.038649,10.3339,0.1638,3.69522,-0.29918,91.2,3.8,11.3889,-1.1111,7.5,0.0789,1.2778,-0.2222
Pea7725adea,2014,18,0.529412,23.5,0.8,109,-5.5,120.217,-2.816,101.942,4.2465,94.6462,1.9506,5.94051,-0.87856,4.36219,-0.46714,1.57831,-0.41142,50.48,-0.59,45.7,0.4,34,1.5,16.9,3.1,2.4,-0.2,8.3,-0.7,3.1,-0.8,0.6,-0.1,34,-7.4,0.356,0.003,0.228426,-0.00768472,4.57449,-0.01181,4.14966,-0.12472,93.7,5,12.8333,-0.1079,3.3333,-0.0491,5.6667,0.1373
Peae8be2d88,2023,12,0.571429,20.9,-1.4,90.5,-4.6,94.135,-6.377,109.055,3.513,108.418,3.733,-1.05715,-1.1562,-1.38101,-0.589325,0.323858,-0.566877,44.57,-1.99,39,-3.8,17,-2.1,16.8,0.3,3,-0.6,18.6,-0.7,1.6,-0.4,0.6,-0.7,51.7,11.3,0.111,-0.191,0.152542,-0.0360541,2.42795,-0.92099,0.838555,-0.759175,87.5,0.8,10.9167,-0.9583,5.9167,-1,2.9167,-0.9166
Peaf1686cc0,2015,18,0.529412,23.5,-0.3,98.4,-11,111.062,-10.146,92.9517,7.5918,86.6326,5.0136,4.3124,-2.80548,-1.44363,-1.95829,5.75603,-0.84719,50.85,-4.76,44.6,-4.2,2.7,-3.5,16.7,0.1,6.1,-1.1,24,-0.9,0.6,-0.2,12.5,0.2,39.9,-3.7,0.211,-0.063,0.256757,0.0155116,5.5233,0.31632,1.97278,-0.60583,60,5.1,9.9444,-0.2027,6.5,-0.0294,0.2778,-0.3104
