pid,sc_athleticism,sc_size,sc_defense,sc_strength,sc_quickness,sc_leadership,sc_jumpshot,sc_nbaready,sc_potential,sc_intangibles,sc_ballhandling,sc_passing,sc_rebounding,sc_postskills,sc_overall,sc_intang_lead,sc_kw_injury,sc_kw_upside,sc_kw_motor,sc_kw_character,sc_kw_shooting_concern,sc_kw_nba_ready,sc_words_strengths,sc_words_weaknesses
P9827437e3d,,,,,,,,,,,,,,,,,0.0,0.0,0.0,1.0,3.0,0.0,157.0,194.0
Pa2e0858910,,,,,,,,,,,,,,,,,,,,,,,,
Pe4a1b20238,,,,,,,,,,,,,,,,,,,,,,,,
Pa59b169e09,,,,,,,,,,,,,,,,,,,,,,,,
P3a913af04c,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,6.0,1.0,176.0,222.0
P624e80554f,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,35.0,31.0
P554dd6632a,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,40.0,17.0
P9f79255649,,,,,,,,,,,,,,,,,0.0,1.0,0.0,0.0,1.0,0.0,126.0,85.0
Pce38c03d45,,,,,,,,,,,,,,,,,,,,,,,,
P3e7075c22e,,,,,,,,,,,,,,,,,0.0,0.0,1.0,0.0,4.0,0.0,205.0,210.0
P1f926eb06b,,,,,,,,,,,,,,,,,,,,,,,,
P5895ae6315,,,,,,,,,,,,,,,,,,,,,,,,
Pdbacaefe1b,,,,,,,,,,,,,,,,,,,,,,,,
P3b6ec2df2f,,,,,,,,,,,,,,,,,,,,,,,,
Pce9ab1622f,,,,,,,,,,,,,,,,,,,,,,,,
Pb3905915d4,,,,,,,,,,,,,,,,,,,,,,,,
Pf436b2be04,,,,,,,,,,,,,,,,,,,,,,,,
Pd073d30524,,,,,,,,,,,,,,,,,,,,,,,,
Ped90afeb58,,,,,,,,,,,,,,,,,,,,,,,,
P7d6aa2dfe0,,,,,,,,,,,,,,,,,0.0,0.0,0.0,1.0,0.0,0.0,106.0,136.0
Pae24459193,,,,,,,,,,,,,,,,,,,,,,,,
P05a2123919,,,,,,,,,,,,,,,,,,,,,,,,
Pbd99bc4676,,,,,,,,,,,,,,,,,,,,,,,,
