pid,tcfs_bpm,tcfs_stl_per,tcfs_obpm,tcfs_d_ts,tcfs_minper,tcfs_ast_per,tcfs_ortg,tcfs_d_usg
P297d12820e,,,,,,,,
P29b17f6d68,6.55443,4.3,4.2481,-0.82,79.1,29.1,115.9,0.1
P2a1ab2724b,7.8611,3.0,3.41037,1.07,67.5,20.2,112.5,-0.2
P2a21698f4f,1.96991,1.2,-0.911198,-2.68,50.6,6.9,98.6,-0.8
P2a6c79e3dc,2.59657,2.0,3.48253,1.81,86.0,13.9,113.7,-1.4
P2a77fa93f7,7.49634,2.0,4.70445,0.39,72.6,18.8,117.5,-0.5
P2acab9acdb,7.92789,2.0,5.33734,2.06,36.5,34.7,115.1,1.8
P2acc089d0e,8.88927,2.9,5.71048,-4.59,91.8,27.5,105.1,-0.7
P2b13664da5,7.51946,2.9,3.31907,2.71,67.3,16.2,112.2,2.3
P2b78ea748d,3.31004,1.3,1.35268,-3.85,13.3,5.5,109.0,2.0
P2b95cb9990,3.18772,0.0,2.18231,-1.76,74.3,0.8,120.8,1.8
P2bc6f2a3aa,8.92296,1.7,4.18668,-1.13,78.3,18.0,111.7,-0.7
P2bc925c307,1.42029,1.1,3.38212,0.34,82.3,14.6,108.5,-0.8
P2c06075e55,-0.403173,2.0,-2.13852,-5.22,68.1,6.5,87.4,-0.9
P2c1e066057,6.83628,2.5,5.49623,2.04,80.0,21.3,112.1,0.0
P2c24c6affb,6.13295,1.4,6.27273,2.91,81.2,31.1,119.8,-0.6
P2c3a1eb46b,7.95658,2.0,2.17083,-0.69,65.6,10.8,109.6,2.3
P2c58b86e78,3.9243,2.7,-0.403328,-0.19,74.1,14.6,101.2,-1.7
P2c6f1d319f,0.292106,0.6,-2.0986,1.22,50.4,6.3,100.5,-0.7
P2c763c66dd,6.62066,1.8,3.79457,3.93,59.4,11.3,119.5,-3.1
P2c7c71307b,8.70688,3.7,4.8733,1.5,82.4,44.5,108.1,1.0
P2c8aa67899,7.8083,2.9,6.86597,-0.07,83.0,23.6,120.3,0.8
P2ca61183dc,6.18641,2.4,5.93381,-0.37,85.9,18.7,120.5,1.2
P2cac6d11e4,5.16459,3.5,1.77951,-0.45,83.1,27.2,103.0,1.0
P2cd53b2728,7.25887,2.3,6.62531,-2.11,86.7,24.9,111.2,1.3
P2cdeb4bf00,8.10473,1.6,5.77607,-1.06,83.1,13.8,115.0,0.7
P2d45174d7f,7.34084,2.4,4.24152,-3.43,68.0,28.8,106.9,-0.3
P2d49f5a403,12.2834,1.9,6.06915,2.85,64.5,13.1,120.0,-1.4
P2d536d911b,6.55677,6.1,0.993867,-0.36,84.2,35.9,90.0,-0.8
P2db62bcb6f,4.07668,1.6,4.11347,-0.15,85.7,17.5,110.2,0.0
P2dc9628338,1.85705,1.4,0.995237,0.27,75.4,27.7,94.8,-0.6
P2dd4d0a4f4,8.25201,1.7,7.8387,3.26,84.6,23.2,128.6,1.5
P2dd8b69701,1.39713,1.6,1.90868,-0.02,78.6,27.6,102.4,0.3
P2dde5c1214,3.4089,1.5,1.51467,1.72,80.5,7.8,116.5,-0.4
P2e38e474e2,6.84025,1.6,3.07054,1.21,73.8,18.9,106.4,0.8
P2e38feab3a,3.596,0.5,1.45667,2.9,48.3,3.9,118.3,-0.3
P2e4a40f74c,4.5038,3.3,2.71753,-0.79,82.4,12.1,97.9,1.1
P2e6be7d23b,7.34417,1.0,3.99092,0.45,30.8,5.4,122.4,-1.9
P2e77fdcd5f,7.87451,1.7,5.82797,1.82,68.8,5.2,126.8,1.4
P2e873db9ac,5.69656,1.1,0.549242,-3.35,87.6,17.4,92.6,-1.0
P2e890c30d2,10.4507,2.7,8.7392,-4.29,94.6,28.2,110.5,-0.9
P2e8c779b09,6.64059,1.6,0.528473,-4.09,92.1,10.8,103.2,0.5
P2f4b26e6e1,6.74987,1.7,2.62521,-0.93,70.9,6.2,113.6,0.3
P2f61c21e93,3.79974,2.5,1.60229,-2.54,78.3,12.5,93.1,1.0
