pid,draft_year,vcons_mock_mean_rank,vcons_mock_best_rank,vcons_mock_rank_range,vcons_mock_n_sources
P187b6721ca,2002,,,,
Pdbacaefe1b,2003,,,,
P9e0485e8f6,2000,,,,
P6d9b6a98b1,2002,,,,
Pd72f71c2bb,2000,,,,
Pb9c495a67d,2015,2.0,2.0,0.0,2.0
P3e493925a2,2015,5.5,4.0,3.0,2.0
P9a02cf437c,2015,18.0,18.0,0.0,2.0
Pb067831a66,2015,27.0,27.0,0.0,2.0
Pf634b73f97,2015,40.5,31.0,19.0,2.0
P1b292d5147,2015,21.5,19.0,5.0,2.0
P0ba0d4e186,2015,48.5,43.0,11.0,2.0
Peda2227014,2015,,,,
P16f77dc0c6,2015,23.0,21.0,4.0,2.0
P3cfad83e39,2015,22.5,17.0,11.0,2.0
P94d904f95a,2015,18.0,16.0,4.0,2.0
P67cf99c3eb,2015,3.0,3.0,0.0,2.0
P5a591d3e24,2015,1.0,1.0,,1.0
Pe7f5f31a46,2015,38.5,30.0,17.0,2.0
Pc3390f55d0,2015,5.5,5.0,1.0,2.0
P9b0b27ae5d,2015,11.0,11.0,,1.0
Ped4ca8f8d6,2015,,,,
Pec96a14b85,2015,12.0,10.0,4.0,2.0
P7d77f683c0,2015,12.0,9.0,6.0,2.0
Pce2a43b358,2015,11.5,9.0,5.0,2.0
Peaf1686cc0,2015,12.0,12.0,0.0,2.0
P2297a93a7f,2015,10.5,8.0,5.0,2.0
P8d6369038a,2015,20.0,19.0,2.0,2.0
P5492e07ad3,2015,14.5,13.0,3.0,2.0
P1c43036b93,2015,22.5,22.0,1.0,2.0
Pcf63b744fe,2015,21.5,17.0,9.0,2.0
P4a125216bc,2015,35.0,33.0,4.0,2.0
P2e8c779b09,2015,38.5,36.0,5.0,2.0
Pf21d262b1c,2015,42.5,40.0,5.0,2.0
Pb4e1522182,2015,22.0,22.0,,1.0
Pe71646e585,2015,27.0,24.0,6.0,2.0
P831df49905,2015,41.0,32.0,18.0,2.0
Ped46c6be82,2015,,,,
Pc381c2ab50,2016,,,,
Pd0eaa15469,2015,27.0,25.0,4.0,2.0
P9b79feb6a3,2016,,,,
P128f74a48f,2015,31.5,29.0,5.0,2.0
Pea73008ab4,2015,44.5,42.0,5.0,2.0
Pa779a7b0cf,2015,,,,
P944090784f,2015,47.0,45.0,4.0,2.0
Pf38454d2db,2015,,,,
P6c859977a5,2015,,,,
Pc5e9e5bdd9,2016,,,,
Pdaafce7eb6,2015,58.0,58.0,,1.0
P49f423e70e,2017,,,,
P6f3f385e9b,2015,,,,
P7570f82c10,2015,,,,
P4074fe9b9e,2017,,,,
P5849f19551,2015,37.5,31.0,13.0,2.0
P4ba2b4830d,2015,43.0,43.0,,1.0
P04e5776a76,2015,,,,
Pfc32d168da,2015,,,,
P0029c9d3a9,2015,,,,
P1ef5f1c321,2015,,,,
P9f8d851f22,2016,,,,
P35fcccf6c9,2015,,,,
P7312c1c32d,2017,,,,
Pa1aae2a35c,2015,,,,
P46c8e8cb1c,2015,,,,
Pf326870436,2015,,,,
Pb88771c23a,2018,,,,
P96a831649e,2017,,,,
Pcb1e0b77ca,2016,,,,
P4879fe4868,2016,,,,
Pe528778159,2017,,,,
Pef9b8757a6,2015,,,,
P7ab7e9a49e,2018,,,,
P0fde3dedb2,2016,1.0,1.0,0.0,2.0
P53f786523f,2016,7.0,7.0,0.0,2.0
P620501ed0d,2016,10.5,8.0,5.0,2.0
Pf93789f1b5,2016,,,,
P4a1b07df85,2016,23.0,20.0,6.0,2.0
P47380ec945,2016,4.0,4.0,0.0,2.0
P9668122fb9,2016,15.0,14.0,2.0,2.0
P9155961dd2,2016,4.0,3.0,2.0,2.0
P9264b6e63a,2016,13.0,10.0,6.0,2.0
P4ec4ee54f1,2016,4.0,3.0,2.0,2.0
P117a6c6fb1,2016,2.0,2.0,0.0,2.0
Pa466887b08,2016,25.0,24.0,2.0,2.0
Pbfe4edf289,2016,26.5,23.0,7.0,2.0
P25bfc6427b,2016,25.0,22.0,6.0,2.0
Pd856e50561,2016,11.0,11.0,0.0,2.0
P55d1c5e102,2016,41.0,34.0,14.0,2.0
P4b59f5fe56,2016,31.5,27.0,9.0,2.0
Pc1c99fe2be,2016,14.0,13.0,2.0,2.0
Pf9ebd1b271,2016,6.0,6.0,0.0,2.0
P88f4dbf943,2016,9.0,9.0,0.0,2.0
Pc5a8d9d1d6,2016,25.5,20.0,11.0,2.0
P9c2d575f48,2016,38.5,34.0,9.0,2.0
Pfa4c05beee,2016,30.5,29.0,3.0,2.0
P0edb7d3b99,2016,39.0,33.0,12.0,2.0
P88064c1c05,2016,20.0,18.0,4.0,2.0
Pb3a7a6f86b,2016,33.5,24.0,19.0,2.0
Pce6ddda209,2016,,,,
P8a2a3c7c07,2016,9.0,8.0,2.0,2.0
Pddcf4609af,2016,25.0,25.0,0.0,2.0
Pd46f6361f5,2016,49.0,40.0,18.0,2.0
Pf5fb4e36b6,2016,42.5,41.0,3.0,2.0
Pd50459cb6d,2016,19.5,18.0,3.0,2.0
P9260f65add,2016,55.0,55.0,,1.0
Pa307fde308,2016,45.0,38.0,14.0,2.0
P3ea09a4d42,2016,50.0,50.0,,1.0
P8e900c2247,2016,51.5,45.0,13.0,2.0
Pfd95ad31d4,2016,51.0,51.0,,1.0
Pf20205fffb,2016,39.0,37.0,4.0,2.0
P521ea871d2,2016,60.0,60.0,,1.0
P22b18d36a6,2016,,,,
P55f0d03e7b,2016,47.0,44.0,6.0,2.0
P6f92e02de4,2016,14.5,12.0,5.0,2.0
Pa7cb2c7354,2016,52.5,49.0,7.0,2.0
P85fbcb1dce,2016,37.5,33.0,9.0,2.0
